"table_name","table_comment","column_name","is_primary_key","data_type","is_nullable","column_comment","ordinal_position"
"m_agency","卸マスター","seq","1","bigint",True,"連番",1
"m_agency","卸マスター","ag_cd","0","character varying(32)",False,"卸コード",2
"m_agency","卸マスター","st_nm","0","character varying(40)",False,"卸正式名称",3
"m_agency","卸マスター","rya_nm","0","character varying(10)",False,"卸表示名称",4
"m_agency","卸マスター","kana_nm","0","character varying(40)",False,"卸カナ名称",5
"m_agency","卸マスター","zip_cd","0","character varying(8)",False,"郵便番号",6
"m_agency","卸マスター","addr01","0","character varying(10)",False,"都道府県名",7
"m_agency","卸マスター","addr02","0","character varying(20)",False,"市区町村名",8
"m_agency","卸マスター","addr03","0","character varying(40)",False,"住所",9
"m_agency","卸マスター","tel","0","character varying(16)",False,"電話番号",10
"m_agency","卸マスター","fax","0","character varying(16)",False,"FAX番号",11
"m_agency","卸マスター","bill_flg","0","character varying(32)",False,"請求先コード",12
"m_agency","卸マスター","sales_send_flg","0","boolean",False,"請求先フラグ",13
"m_agency","卸マスター","jd_send_flg","0","boolean",False,"JD-NET送信フラグ",14
"m_agency","卸マスター","planet_send_flg","0","boolean",False,"PLANET送信フラグ",15
"m_agency","卸マスター","inv_format","0","character varying(7)",False,"JD-NET仕切書形式",16
"m_agency","卸マスター","gln_cd","0","character varying(10)",False,"GLN取引先コード",17
"m_agency","卸マスター","del_flg","0","boolean",False,"削除フラグ",18
"m_agency","卸マスター","udt_usr","0","character varying(50)",False,"更新ユーザー",19
"m_agency","卸マスター","udt_dt","0","timestamp(6) without time zone",False,"更新日時",20
"m_agency","卸マスター","input_id","0","bigint",False,"入力履歴ID",21
"m_agency_code_setting","コード変換設定マスター","seq","1","bigint",True,"連番",1
"m_agency_code_setting","コード変換設定マスター","agency_link_key","0","bigint",False,"親キー",2
"m_agency_code_setting","コード変換設定マスター","code_setting_type","0","character varying(10)",False,"コード変換種別",3
"m_agency_code_setting","コード変換設定マスター","start_index_1","0","integer",False,"開始位置１",4
"m_agency_code_setting","コード変換設定マスター","end_index_1","0","integer",False,"終了位置１",5
"m_agency_code_setting","コード変換設定マスター","start_index_2","0","integer",False,"開始位置２",6
"m_agency_code_setting","コード変換設定マスター","end_index_2","0","integer",False,"終了位置２",7
"m_agency_code_setting","コード変換設定マスター","start_index_3","0","integer",False,"開始位置３",8
"m_agency_code_setting","コード変換設定マスター","end_index_3","0","integer",False,"終了位置３",9
"m_agency_code_setting","コード変換設定マスター","start_index_4","0","integer",False,"開始位置４",10
"m_agency_code_setting","コード変換設定マスター","end_index_4","0","integer",False,"終了位置４",11
